vehicleId: 0; start (20;100); startTime: 1; now (510;100); timecount: 496; boxId: B163, B162, ;PU
vehicleId: 0; start (510;100); startTime: 496; now (500;100); timecount: 511; boxId: B163, B162, ;PL
vehicleId: 1; start (1180;100); startTime: 1; now (510;100); timecount: 676; boxId: B161, ;PU
vehicleId: 0; start (500;100); startTime: 511; now (510;100); timecount: 678; boxId: B160, ;PU
vehicleId: 1; start (510;100); startTime: 676; now (500;100); timecount: 691; boxId: B161, ;PL
vehicleId: 1; start (500;100); startTime: 692; now (170;100); timecount: 1027; boxId: B27, ;PU
vehicleId: 1; start (170;100); startTime: 1027; now (160;100); timecount: 1042; boxId: B27, ;PL
vehicleId: 1; start (160;100); startTime: 1042; now (170;100); timecount: 1057; boxId: B26, ;PU
vehicleId: 0; start (510;100); startTime: 678; now (0;100); timecount: 1193; boxId: B160, ;PL
vehicleId: 1; start (170;100); startTime: 1057; now (10;100); timecount: 1222; boxId: B26, ;PL
vehicleId: 0; start (0;100); startTime: 1194; now (770;100); timecount: 1969; boxId: B267, B266, ;PU
vehicleId: 0; start (770;100); startTime: 1969; now (760;100); timecount: 1984; boxId: B267, B266, ;PL
vehicleId: 1; start (10;100); startTime: 1222; now (770;100); timecount: 1987; boxId: B265, ;PU
vehicleId: 0; start (760;100); startTime: 1985; now (800;100); timecount: 2030; boxId: B279, B278, ;PU
vehicleId: 0; start (800;100); startTime: 2030; now (790;100); timecount: 2045; boxId: B279, B278, ;PL
vehicleId: 0; start (790;100); startTime: 2045; now (800;100); timecount: 2060; boxId: B277, ;PU
vehicleId: 0; start (800;100); startTime: 2060; now (790;100); timecount: 2075; boxId: B277, ;PL
vehicleId: 0; start (790;100); startTime: 2075; now (800;100); timecount: 2090; boxId: B276, ;PU
vehicleId: 1; start (770;100); startTime: 1987; now (10;100); timecount: 2752; boxId: B265, ;PL
vehicleId: 0; start (800;100); startTime: 2090; now (0;100); timecount: 2895; boxId: B276, ;PL
vehicleId: 0; start (0;100); startTime: 2896; now (160;100); timecount: 3061; boxId: B27, B23, ;PU
vehicleId: 0; start (160;100); startTime: 3061; now (150;100); timecount: 3076; boxId: B27, B23, ;PL
vehicleId: 0; start (150;100); startTime: 3076; now (160;100); timecount: 3091; boxId: B22, ;PU
vehicleId: 0; start (160;100); startTime: 3091; now (0;100); timecount: 3256; boxId: B22, ;PL
vehicleId: 1; start (10;100); startTime: 2752; now (770;100); timecount: 3517; boxId: B264, ;PU
vehicleId: 0; start (0;100); startTime: 3256; now (820;100); timecount: 4081; boxId: B287, ;PU
vehicleId: 1; start (770;100); startTime: 3517; now (0;100); timecount: 4292; boxId: B264, ;PL
vehicleId: 0; start (820;100); startTime: 4081; now (0;100); timecount: 4906; boxId: B287, ;PL
vehicleId: 1; start (0;100); startTime: 4293; now (870;100); timecount: 5168; boxId: B307, B306, ;PU
vehicleId: 1; start (870;100); startTime: 5168; now (860;100); timecount: 5183; boxId: B307, B306, ;PL
vehicleId: 0; start (0;100); startTime: 4906; now (870;100); timecount: 5781; boxId: B305, ;PU
vehicleId: 1; start (860;100); startTime: 5183; now (870;100); timecount: 5782; boxId: B304, ;PU
vehicleId: 0; start (870;100); startTime: 5781; now (860;100); timecount: 5796; boxId: B305, ;PL
vehicleId: 0; start (860;100); startTime: 5796; now (720;100); timecount: 5941; boxId: B247, ;PU
vehicleId: 1; start (870;100); startTime: 5782; now (10;100); timecount: 6647; boxId: B304, ;PL
vehicleId: 0; start (720;100); startTime: 5941; now (0;100); timecount: 6666; boxId: B247, ;PL
vehicleId: 1; start (10;100); startTime: 6648; now (320;100); timecount: 6963; boxId: B87, B86, ;PU
vehicleId: 1; start (320;100); startTime: 6963; now (310;100); timecount: 6978; boxId: B87, B86, ;PL
vehicleId: 0; start (0;100); startTime: 6666; now (320;100); timecount: 6991; boxId: B85, ;PU
vehicleId: 1; start (310;100); startTime: 6979; now (550;100); timecount: 7224; boxId: B179, B178, ;PU
vehicleId: 1; start (550;100); startTime: 7224; now (540;100); timecount: 7239; boxId: B179, B178, ;PL
vehicleId: 1; start (540;100); startTime: 7239; now (550;100); timecount: 7254; boxId: B177, ;PU
vehicleId: 1; start (550;100); startTime: 7254; now (540;100); timecount: 7269; boxId: B177, ;PL
vehicleId: 1; start (540;100); startTime: 7269; now (550;100); timecount: 7284; boxId: B176, ;PU
vehicleId: 0; start (320;100); startTime: 6991; now (0;100); timecount: 7316; boxId: B85, ;PL
vehicleId: 1; start (550;100); startTime: 7284; now (0;100); timecount: 7839; boxId: B176, ;PL
vehicleId: 0; start (0;100); startTime: 7317; now (650;100); timecount: 7972; boxId: B219, ;PU
vehicleId: 0; start (650;100); startTime: 7972; now (640;100); timecount: 7987; boxId: B219, ;PL
vehicleId: 0; start (640;100); startTime: 7988; now (1000;100); timecount: 8353; boxId: B359, ;PU
vehicleId: 0; start (1000;100); startTime: 8353; now (990;100); timecount: 8368; boxId: B359, ;PL
vehicleId: 0; start (990;100); startTime: 8368; now (1000;100); timecount: 8383; boxId: B358, ;PU
vehicleId: 1; start (0;100); startTime: 7839; now (650;100); timecount: 8494; boxId: B218, ;PU
vehicleId: 1; start (650;100); startTime: 8494; now (0;100); timecount: 9149; boxId: B218, ;PL
vehicleId: 0; start (1000;100); startTime: 8383; now (10;100); timecount: 9378; boxId: B358, ;PL
vehicleId: 1; start (0;100); startTime: 9150; now (680;100); timecount: 9835; boxId: B231, ;PU
vehicleId: 1; start (680;100); startTime: 9835; now (670;100); timecount: 9850; boxId: B231, ;PL
vehicleId: 0; start (10;100); startTime: 9378; now (680;100); timecount: 10053; boxId: B230, ;PU
vehicleId: 1; start (670;100); startTime: 9851; now (220;100); timecount: 10306; boxId: B47, ;PU
vehicleId: 1; start (220;100); startTime: 10306; now (210;100); timecount: 10321; boxId: B47, ;PL
vehicleId: 1; start (210;100); startTime: 10321; now (220;100); timecount: 10336; boxId: B46, ;PU
vehicleId: 1; start (220;100); startTime: 10336; now (0;100); timecount: 10561; boxId: B46, ;PL
vehicleId: 0; start (680;100); startTime: 10053; now (0;100); timecount: 10738; boxId: B230, ;PL
vehicleId: 1; start (0;100); startTime: 10562; now (340;100); timecount: 10907; boxId: B95, B94, ;PU
vehicleId: 1; start (340;100); startTime: 10907; now (330;100); timecount: 10922; boxId: B95, B94, ;PL
vehicleId: 0; start (0;100); startTime: 10738; now (340;100); timecount: 11083; boxId: B93, B92, ;PU
vehicleId: 0; start (340;100); startTime: 11083; now (0;100); timecount: 11428; boxId: B93, B92, ;PL
vehicleId: 1; start (330;100); startTime: 10922; now (850;100); timecount: 11447; boxId: B299, ;PU
vehicleId: 0; start (0;100); startTime: 11429; now (500;100); timecount: 11934; boxId: B161, B163, ;PU
vehicleId: 0; start (500;100); startTime: 11934; now (490;100); timecount: 11949; boxId: B161, B163, ;PL
vehicleId: 0; start (490;100); startTime: 11949; now (500;100); timecount: 11964; boxId: B162, B159, ;PU
vehicleId: 0; start (500;100); startTime: 11964; now (490;100); timecount: 11979; boxId: B162, B159, ;PL
vehicleId: 0; start (490;100); startTime: 11979; now (500;100); timecount: 11994; boxId: B158, ;PU
vehicleId: 1; start (850;100); startTime: 11447; now (0;100); timecount: 12302; boxId: B299, ;PL
vehicleId: 0; start (500;100); startTime: 11994; now (10;100); timecount: 12489; boxId: B158, ;PL
vehicleId: 1; start (0;100); startTime: 12302; now (650;100); timecount: 12957; boxId: B217, ;PU
vehicleId: 0; start (10;100); startTime: 12490; now (630;100); timecount: 13115; boxId: B211, B210, ;PU
vehicleId: 0; start (630;100); startTime: 13115; now (620;100); timecount: 13130; boxId: B211, B210, ;PL
vehicleId: 0; start (620;100); startTime: 13130; now (630;100); timecount: 13145; boxId: B209, ;PU
